timestamp,buySellRatio,buyVol,sellVol
2026-05-06 18:55:00+00:00,0.5803,43.464,74.896
2026-05-06 19:00:00+00:00,2.0193,112.504,55.713
2026-05-06 19:05:00+00:00,1.2918,136.129,105.381
2026-05-06 19:10:00+00:00,0.8226,172.142,209.275
2026-05-06 19:15:00+00:00,0.7465,144.052,192.96
2026-05-06 19:20:00+00:00,0.8041,78.449,97.567
2026-05-06 19:25:00+00:00,1.0193,76.052,74.61
2026-05-06 19:30:00+00:00,0.4215,64.102,152.071
2026-05-06 19:35:00+00:00,2.0394,74.71,36.634
2026-05-06 19:40:00+00:00,1.5125,126.794,83.833
2026-05-06 19:45:00+00:00,0.676,68.977,102.033
2026-05-06 19:50:00+00:00,1.6925,221.639,130.955
2026-05-06 19:55:00+00:00,0.7555,87.772,116.176
2026-05-06 20:00:00+00:00,1.1822,304.676,257.716
2026-05-06 20:05:00+00:00,0.5767,93.477,162.097
2026-05-06 20:10:00+00:00,1.2346,182.946,148.179
2026-05-06 20:15:00+00:00,0.8855,96.674,109.178
2026-05-06 20:20:00+00:00,0.2312,38.196,165.196
2026-05-06 20:25:00+00:00,0.8094,112.076,138.476
2026-05-06 20:30:00+00:00,0.7329,321.184,438.221
2026-05-06 20:35:00+00:00,1.5354,114.213,74.386
2026-05-06 20:40:00+00:00,1.4819,115.611,78.014
2026-05-06 20:45:00+00:00,0.6961,88.983,127.822
2026-05-06 20:50:00+00:00,2.0856,51.516,24.701
2026-05-06 20:55:00+00:00,2.1844,119.429,54.673
2026-05-06 21:00:00+00:00,2.0017,90.615,45.268
2026-05-06 21:05:00+00:00,3.4016,168.208,49.45
2026-05-06 21:10:00+00:00,0.6224,89.269,143.422
2026-05-06 21:15:00+00:00,0.5579,23.55,42.21
2026-05-06 21:20:00+00:00,0.4819,18.934,39.291
2026-05-06 21:25:00+00:00,1.3034,29.027,22.27
2026-05-06 21:30:00+00:00,1.4785,94.641,64.012
2026-05-06 21:35:00+00:00,1.3403,82.497,61.549
2026-05-06 21:40:00+00:00,1.6318,90.411,55.404
2026-05-06 21:45:00+00:00,1.1897,41.469,34.856
2026-05-06 21:50:00+00:00,0.9132,54.076,59.215
2026-05-06 21:55:00+00:00,0.5924,26.409,44.578
2026-05-06 22:00:00+00:00,0.8159,83.57,102.43
2026-05-06 22:05:00+00:00,1.3166,133.889,101.694
2026-05-06 22:10:00+00:00,1.0672,78.671,73.716
2026-05-06 22:15:00+00:00,1.0467,78.545,75.041
2026-05-06 22:20:00+00:00,0.7156,121.873,170.308
2026-05-06 22:25:00+00:00,0.9067,106.196,117.127
2026-05-06 22:30:00+00:00,1.694,73.491,43.382
2026-05-06 22:35:00+00:00,1.1701,53.991,46.141
2026-05-06 22:40:00+00:00,0.9625,43.405,45.095
2026-05-06 22:45:00+00:00,1.1873,109.078,91.869
2026-05-06 22:50:00+00:00,1.2245,85.36,69.71
2026-05-06 22:55:00+00:00,0.8551,41.186,48.164
2026-05-06 23:00:00+00:00,0.433,674.102,1556.968
2026-05-06 23:05:00+00:00,1.8593,400.235,215.265
2026-05-06 23:10:00+00:00,1.5109,167.381,110.782
2026-05-06 23:15:00+00:00,1.1445,82.446,72.038
2026-05-06 23:20:00+00:00,2.4244,70.735,29.176
