timestamp,symbol,market,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_sell_volume,taker_buy_quote,taker_sell_quote,taker_buy_sell_ratio,first_trade_time,last_trade_time,first_agg_trade_id,last_agg_trade_id
2026-06-17T06:06:31.000000Z,BTCUSDT,futures,65807.5,65807.5,65807.5,65807.5,0.005,329.0375,3,0.005,0.0,329.0375,0.0,999.0,2026-06-17T06:06:31.182000Z,2026-06-17T06:06:31.761000Z,3343061685,3343061687
2026-06-17T06:06:32.000000Z,BTCUSDT,futures,65807.5,65807.5,65807.5,65807.5,0.42,27639.15,1,0.42,0.0,27639.15,0.0,999.0,2026-06-17T06:06:32.960000Z,2026-06-17T06:06:32.960000Z,3343061688,3343061688
2026-06-17T06:06:33.000000Z,BTCUSDT,futures,65807.5,65807.5,65801.5,65801.5,3.536,232687.199,38,0.001,3.535,65.8075,232621.3915,0.0002828854314002829,2026-06-17T06:06:33.379000Z,2026-06-17T06:06:33.826000Z,3343061689,3343061726
2026-06-17T06:06:34.000000Z,BTCUSDT,futures,65801.6,65801.6,65801.6,65801.6,0.001,65.80160000000001,1,0.001,0.0,65.80160000000001,0.0,999.0,2026-06-17T06:06:34.042000Z,2026-06-17T06:06:34.042000Z,3343061727,3343061727
2026-06-17T06:06:36.000000Z,BTCUSDT,futures,65801.6,65801.6,65801.6,65801.6,0.017,1118.6272,1,0.017,0.0,1118.6272,0.0,999.0,2026-06-17T06:06:36.580000Z,2026-06-17T06:06:36.580000Z,3343061728,3343061728
2026-06-17T06:06:38.000000Z,BTCUSDT,futures,65801.5,65801.6,65801.5,65801.5,0.045,2961.0716000000007,3,0.041,0.004,2697.8656000000005,263.206,10.25,2026-06-17T06:06:38.031000Z,2026-06-17T06:06:38.286000Z,3343061729,3343061731
2026-06-17T06:06:40.000000Z,BTCUSDT,futures,65801.5,65801.5,65801.5,65801.5,0.017,1118.6255,1,0.0,0.017,0.0,1118.6255,0.0,2026-06-17T06:06:40.035000Z,2026-06-17T06:06:40.035000Z,3343061732,3343061732
2026-06-17T06:06:42.000000Z,BTCUSDT,futures,65801.5,65801.6,65801.5,65801.6,0.071,4671.9106,3,0.041,0.03,2697.8656,1974.045,1.3666666666666667,2026-06-17T06:06:42.034000Z,2026-06-17T06:06:42.398000Z,3343061733,3343061735
2026-06-17T06:06:43.000000Z,BTCUSDT,futures,65801.5,65801.5,65801.5,65801.5,0.013,855.4195,2,0.0,0.013,0.0,855.4195,0.0,2026-06-17T06:06:43.222000Z,2026-06-17T06:06:43.907000Z,3343061736,3343061737
2026-06-17T06:06:44.000000Z,BTCUSDT,futures,65801.5,65801.6,65801.5,65801.6,0.007,460.6111000000001,2,0.006,0.001,394.8096000000001,65.8015,6.0,2026-06-17T06:06:44.346000Z,2026-06-17T06:06:44.410000Z,3343061738,3343061739
