timestamp,symbol,market,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_sell_volume,taker_buy_quote,taker_sell_quote,taker_buy_sell_ratio,first_trade_time,last_trade_time,first_agg_trade_id,last_agg_trade_id
2026-06-19T00:00:00.000000Z,BTCUSDT,futures,62924.0,62924.1,62924.0,62924.1,0.022,1384.3293,4,0.013,0.009,818.0133000000001,566.316,1.4444444444444444,2026-06-19T00:00:00.079000Z,2026-06-19T00:00:00.836000Z,3346167652,3346167655
2026-06-19T00:00:01.000000Z,BTCUSDT,futures,62924.0,62924.1,62924.0,62924.0,0.506,31839.5445,5,0.005,0.501,314.6205,31524.924,0.00998003992015968,2026-06-19T00:00:01.027000Z,2026-06-19T00:00:01.860000Z,3346167656,3346167660
2026-06-19T00:00:02.000000Z,BTCUSDT,futures,62924.1,62929.3,62924.1,62929.3,10.666,671152.052,38,10.207,0.459,642267.5492,28884.5028,22.237472766884533,2026-06-19T00:00:02.150000Z,2026-06-19T00:00:02.992000Z,3346167661,3346167698
2026-06-19T00:00:03.000000Z,BTCUSDT,futures,62929.2,62929.2,62922.0,62922.1,2.614,164493.3883,45,0.0289999999999999,2.585,1824.7409,162668.6474,0.011218568665377137,2026-06-19T00:00:03.086000Z,2026-06-19T00:00:03.982000Z,3346167699,3346167743
2026-06-19T00:00:04.000000Z,BTCUSDT,futures,62922.0,62929.3,62922.0,62929.2,5.345,336327.8478,44,5.168,0.177,325189.4586,11138.3892,29.197740112994353,2026-06-19T00:00:04.136000Z,2026-06-19T00:00:04.919000Z,3346167744,3346167787
2026-06-19T00:00:05.000000Z,BTCUSDT,futures,62929.2,62929.3,62929.2,62929.2,0.453,28506.9454,7,0.178,0.275,11201.4154,17305.53,0.6472727272727272,2026-06-19T00:00:05.058000Z,2026-06-19T00:00:05.940000Z,3346167788,3346167794
2026-06-19T00:00:06.000000Z,BTCUSDT,futures,62929.2,62929.3,62929.2,62929.2,0.099,6229.9944000000005,6,0.036,0.063,2265.4548000000004,3964.5396,0.5714285714285714,2026-06-19T00:00:06.155000Z,2026-06-19T00:00:06.924000Z,3346167795,3346167800
2026-06-19T00:00:07.000000Z,BTCUSDT,futures,62929.2,62929.3,62929.2,62929.2,3.034,190927.2119,7,0.191,2.843,12019.4963,178907.7156,0.06718255364052057,2026-06-19T00:00:07.089000Z,2026-06-19T00:00:07.979000Z,3346167801,3346167807
2026-06-19T00:00:08.000000Z,BTCUSDT,futures,62929.2,62929.3,62920.9,62920.9,0.717,45118.2886,53,0.012,0.7050000000000001,755.1512,44363.1374,0.01702127659574468,2026-06-19T00:00:08.142000Z,2026-06-19T00:00:08.928000Z,3346167808,3346167860
2026-06-19T00:00:09.000000Z,BTCUSDT,futures,62921.0,62921.0,62920.9,62920.9,0.301,18939.2055,5,0.146,0.155,9186.466,9752.7395,0.9419354838709677,2026-06-19T00:00:09.120000Z,2026-06-19T00:00:09.814000Z,3346167861,3346167865
